Star,"A luminous sphere of plasma held together by gravity"
Planet,"A celestial body orbiting a star, massive enough to be rounded by its own gravity"
Galaxy,"A massive system of stars, gas, dust, and dark matter bound together by gravity"
Nebula,"A giant cloud of dust and gas in space"
Asteroid,"A small rocky body orbiting the Sun"
Comet,"An icy body that releases gas and dust, forming a glowing coma and tail"
Meteor,"A streak of light produced when a meteoroid burns in Earth's atmosphere"
Black hole,"A region of space where gravity is so strong that not even light can escape"
Supernova,"A powerful explosion marking the end of a massive star’s life cycle"
Orbit,"The curved path an object follows around a star or planet"
Cosmos,"The universe considered as a well-ordered whole"
Constellation,"A group of stars forming a recognizable pattern"
